Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2020,Sri Lanka,LKA,Ireland,IRL,21,16,0,-,0,-,0
2021,Sri Lanka,LKA,Ireland,IRL,25,7,0,-,0,-,0
2022,Sri Lanka,LKA,Ireland,IRL,18,10,0,-,0,0,0
2002,Lithuania,LTU,Ireland,IRL,6,0,0,-,0,-,0
2003,Lithuania,LTU,Ireland,IRL,14,65,0,-,0,-,0
2004,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2005,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2006,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2007,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2008,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2009,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2010,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2011,Lithuania,LTU,Ireland,IRL,22,0,0,-,0,-,0
2012,Lithuania,LTU,Ireland,IRL,16,0,0,-,0,-,0
2013,Lithuania,LTU,Ireland,IRL,14,0,0,-,0,-,0
2014,Lithuania,LTU,Ireland,IRL,14,0,0,-,0,-,0
2015,Lithuania,LTU,Ireland,IRL,14,0,0,-,0,-,0
2001,Latvia,LVA,Ireland,IRL,6,0,0,-,0,-,0
2002,Latvia,LVA,Ireland,IRL,12,0,0,-,0,-,0
2003,Latvia,LVA,Ireland,IRL,23,12,0,-,0,-,0
2004,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2005,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2006,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2007,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2008,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2009,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2010,Latvia,LVA,Ireland,IRL,23,0,0,-,0,-,0
2011,Latvia,LVA,Ireland,IRL,17,0,0,-,0,-,0
2012,Latvia,LVA,Ireland,IRL,11,0,0,-,0,-,0
2013,Latvia,LVA,Ireland,IRL,6,0,0,-,0,-,0
2014,Latvia,LVA,Ireland,IRL,6,0,0,-,0,-,0
2015,Latvia,LVA,Ireland,IRL,6,0,0,-,0,-,0
2003,Mauritania,MRT,Ireland,IRL,0,5,0,-,0,-,0
2004,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2005,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2006,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2007,Mauritania,MRT,Ireland,IRL,6,0,0,-,0,-,0
2008,Mauritania,MRT,Ireland,IRL,6,0,0,-,0,-,0
2009,Mauritania,MRT,Ireland,IRL,6,0,0,-,0,-,0
2010,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2011,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2012,Mauritania,MRT,Ireland,IRL,5,5,0,-,0,-,0
2013,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2014,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2015,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2016,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2017,Mauritania,MRT,Ireland,IRL,5,0,0,-,0,-,0
2003,North Macedonia,MKD,Ireland,IRL,5,12,0,-,0,-,0
2004,North Macedonia,MKD,Ireland,IRL,6,5,0,-,0,-,0
2005,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2006,North Macedonia,MKD,Ireland,IRL,15,5,0,-,0,-,0
2007,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2008,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2009,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2010,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2011,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2012,North Macedonia,MKD,Ireland,IRL,15,0,0,-,0,-,0
2013,North Macedonia,MKD,Ireland,IRL,5,0,0,-,0,-,0
2014,North Macedonia,MKD,Ireland,IRL,10,0,0,-,0,-,0
2021,North Macedonia,MKD,Ireland,IRL,6,0,0,-,0,-,0
2022,North Macedonia,MKD,Ireland,IRL,6,0,0,-,0,0,0
2001,Rep. of Moldova,MDA,Ireland,IRL,18,0,0,-,0,-,0
2002,Rep. of Moldova,MDA,Ireland,IRL,79,0,0,-,0,-,0
2003,Rep. of Moldova,MDA,Ireland,IRL,139,209,0,-,0,-,0
2004,Rep. of Moldova,MDA,Ireland,IRL,177,79,0,-,0,-,0
2005,Rep. of Moldova,MDA,Ireland,IRL,190,0,0,-,0,-,0
2006,Rep. of Moldova,MDA,Ireland,IRL,199,69,0,-,0,-,0
2007,Rep. of Moldova,MDA,Ireland,IRL,212,105,0,-,0,-,0
2008,Rep. of Moldova,MDA,Ireland,IRL,221,85,0,-,0,-,0
2009,Rep. of Moldova,MDA,Ireland,IRL,227,30,0,-,0,-,0
2010,Rep. of Moldova,MDA,Ireland,IRL,232,92,0,-,0,-,0
2011,Rep. of Moldova,MDA,Ireland,IRL,215,103,0,-,0,-,0
2012,Rep. of Moldova,MDA,Ireland,IRL,158,108,0,-,0,-,0
2013,Rep. of Moldova,MDA,Ireland,IRL,126,75,0,-,0,-,0
2014,Rep. of Moldova,MDA,Ireland,IRL,106,39,0,-,0,-,0
2015,Rep. of Moldova,MDA,Ireland,IRL,106,24,0,-,0,-,0
2016,Rep. of Moldova,MDA,Ireland,IRL,105,5,0,-,0,-,0
2017,Rep. of Moldova,MDA,Ireland,IRL,105,8,0,-,0,-,0
2018,Rep. of Moldova,MDA,Ireland,IRL,55,7,0,-,0,-,0
2019,Rep. of Moldova,MDA,Ireland,IRL,54,8,0,-,0,-,0
2020,Rep. of Moldova,MDA,Ireland,IRL,54,5,0,-,0,-,0
2021,Rep. of Moldova,MDA,Ireland,IRL,51,0,0,-,0,-,0
2022,Rep. of Moldova,MDA,Ireland,IRL,42,0,0,-,0,0,0
2017,Mexico,MEX,Ireland,IRL,0,6,0,-,0,-,0
2018,Mexico,MEX,Ireland,IRL,0,12,0,-,0,-,0
2019,Mexico,MEX,Ireland,IRL,5,7,0,-,0,-,0
2020,Mexico,MEX,Ireland,IRL,9,5,0,-,0,-,0
2021,Mexico,MEX,Ireland,IRL,9,10,0,-,0,-,0
2022,Mexico,MEX,Ireland,IRL,10,5,0,-,0,0,0
2007,Mali,MLI,Ireland,IRL,0,5,0,-,0,-,0
2008,Mali,MLI,Ireland,IRL,0,5,0,-,0,-,0
2013,Mali,MLI,Ireland,IRL,7,0,0,-,0,-,0
2014,Mali,MLI,Ireland,IRL,7,0,0,-,0,-,0
2015,Mali,MLI,Ireland,IRL,9,0,0,-,0,-,0
2016,Mali,MLI,Ireland,IRL,8,0,0,-,0,-,0
2017,Mali,MLI,Ireland,IRL,8,0,0,-,0,-,0
2018,Mali,MLI,Ireland,IRL,8,0,0,-,0,-,0
2019,Mali,MLI,Ireland,IRL,8,0,0,-,0,-,0
2020,Mali,MLI,Ireland,IRL,7,0,0,-,0,-,0
2021,Mali,MLI,Ireland,IRL,5,0,0,-,0,-,0
2006,Malaysia,MYS,Ireland,IRL,0,10,0,-,0,-,0
2007,Malaysia,MYS,Ireland,IRL,0,10,0,-,0,-,0
2008,Malaysia,MYS,Ireland,IRL,0,9,0,-,0,-,0
2009,Malaysia,MYS,Ireland,IRL,0,5,0,-,0,-,0
2014,Malaysia,MYS,Ireland,IRL,0,5,0,-,0,-,0
2015,Malaysia,MYS,Ireland,IRL,5,5,0,-,0,-,0
2016,Malaysia,MYS,Ireland,IRL,5,16,0,-,0,-,0
2017,Malaysia,MYS,Ireland,IRL,5,16,0,-,0,-,0
2018,Malaysia,MYS,Ireland,IRL,0,25,0,-,0,-,0
2019,Malaysia,MYS,Ireland,IRL,5,31,0,-,0,-,0
2020,Malaysia,MYS,Ireland,IRL,5,29,0,-,0,-,0
2021,Malaysia,MYS,Ireland,IRL,9,18,0,-,0,-,0
2022,Malaysia,MYS,Ireland,IRL,10,29,0,-,0,0,0
2003,Malawi,MWI,Ireland,IRL,0,11,0,-,0,-,0
2004,Malawi,MWI,Ireland,IRL,5,5,0,-,0,-,0
2005,Malawi,MWI,Ireland,IRL,5,0,0,-,0,-,0
2006,Malawi,MWI,Ireland,IRL,5,10,0,-,0,-,0
2007,Malawi,MWI,Ireland,IRL,5,13,0,-,0,-,0
2008,Malawi,MWI,Ireland,IRL,5,23,0,-,0,-,0
2009,Malawi,MWI,Ireland,IRL,5,20,0,-,0,-,0
2010,Malawi,MWI,Ireland,IRL,6,46,0,-,0,-,0
2011,Malawi,MWI,Ireland,IRL,9,57,0,-,0,-,0
2012,Malawi,MWI,Ireland,IRL,10,61,0,-,0,-,0
2013,Malawi,MWI,Ireland,IRL,17,81,0,-,0,-,0
2014,Malawi,MWI,Ireland,IRL,28,117,0,-,0,-,0
2015,Malawi,MWI,Ireland,IRL,38,165,0,-,0,-,0
2016,Malawi,MWI,Ireland,IRL,43,184,0,-,0,-,0
2017,Malawi,MWI,Ireland,IRL,51,177,0,-,0,-,0
2018,Malawi,MWI,Ireland,IRL,75,176,0,-,0,-,0
2019,Malawi,MWI,Ireland,IRL,95,180,0,-,0,-,0
2020,Malawi,MWI,Ireland,IRL,126,183,0,-,0,-,0
2021,Malawi,MWI,Ireland,IRL,142,125,0,-,0,-,0
2022,Malawi,MWI,Ireland,IRL,161,115,0,-,0,0,0
2003,Mongolia,MNG,Ireland,IRL,0,5,0,-,0,-,0
2004,Mongolia,MNG,Ireland,IRL,0,5,0,-,0,-,0
2006,Mongolia,MNG,Ireland,IRL,0,5,0,-,0,-,0
2007,Mongolia,MNG,Ireland,IRL,0,10,0,-,0,-,0
2008,Mongolia,MNG,Ireland,IRL,0,8,0,-,0,-,0
2009,Mongolia,MNG,Ireland,IRL,0,5,0,-,0,-,0
2010,Mongolia,MNG,Ireland,IRL,0,15,0,-,0,-,0
2011,Mongolia,MNG,Ireland,IRL,5,11,0,-,0,-,0
2012,Mongolia,MNG,Ireland,IRL,5,11,0,-,0,-,0
2013,Mongolia,MNG,Ireland,IRL,5,6,0,-,0,-,0
2014,Mongolia,MNG,Ireland,IRL,5,0,0,-,0,-,0
2015,Mongolia,MNG,Ireland,IRL,5,0,0,-,0,-,0
2016,Mongolia,MNG,Ireland,IRL,5,0,0,-,0,-,0
2017,Mongolia,MNG,Ireland,IRL,5,11,0,-,0,-,0
2018,Mongolia,MNG,Ireland,IRL,5,16,0,-,0,-,0
2019,Mongolia,MNG,Ireland,IRL,5,14,0,-,0,-,0
2020,Mongolia,MNG,Ireland,IRL,5,11,0,-,0,-,0
2021,Mongolia,MNG,Ireland,IRL,8,5,0,-,0,-,0
2022,Mongolia,MNG,Ireland,IRL,9,0,0,-,0,0,0
2003,Morocco,MAR,Ireland,IRL,5,10,0,-,0,-,0
2004,Morocco,MAR,Ireland,IRL,5,7,0,-,0,-,0
2005,Morocco,MAR,Ireland,IRL,5,0,0,-,0,-,0
2006,Morocco,MAR,Ireland,IRL,5,10,0,-,0,-,0
2007,Morocco,MAR,Ireland,IRL,5,15,0,-,0,-,0
2008,Morocco,MAR,Ireland,IRL,5,19,0,-,0,-,0
2009,Morocco,MAR,Ireland,IRL,9,6,0,-,0,-,0
2010,Morocco,MAR,Ireland,IRL,9,10,0,-,0,-,0
2011,Morocco,MAR,Ireland,IRL,8,11,0,-,0,-,0
2012,Morocco,MAR,Ireland,IRL,7,16,0,-,0,-,0
2013,Morocco,MAR,Ireland,IRL,6,18,0,-,0,-,0
2014,Morocco,MAR,Ireland,IRL,10,15,0,-,0,-,0
2015,Morocco,MAR,Ireland,IRL,10,0,0,-,0,-,0
2016,Morocco,MAR,Ireland,IRL,8,11,0,-,0,-,0
2017,Morocco,MAR,Ireland,IRL,8,25,0,-,0,-,0
2018,Morocco,MAR,Ireland,IRL,6,35,0,-,0,-,0
2019,Morocco,MAR,Ireland,IRL,10,46,0,-,0,-,0
2020,Morocco,MAR,Ireland,IRL,12,58,0,-,0,-,0
2021,Morocco,MAR,Ireland,IRL,14,70,0,-,0,-,0
2022,Morocco,MAR,Ireland,IRL,31,201,0,-,0,0,0
2003,Mozambique,MOZ,Ireland,IRL,0,5,0,-,0,-,0
2004,Mozambique,MOZ,Ireland,IRL,0,5,0,-,0,-,0
2005,Mozambique,MOZ,Ireland,IRL,5,0,0,-,0,-,0
2006,Mozambique,MOZ,Ireland,IRL,5,0,0,-,0,-,0
2007,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2008,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2009,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2010,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2011,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2012,Mozambique,MOZ,Ireland,IRL,8,0,0,-,0,-,0
2013,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2014,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2015,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2016,Mozambique,MOZ,Ireland,IRL,7,0,0,-,0,-,0
2017,Mozambique,MOZ,Ireland,IRL,6,0,0,-,0,-,0
2018,Mozambique,MOZ,Ireland,IRL,5,5,0,-,0,-,0
2019,Mozambique,MOZ,Ireland,IRL,5,5,0,-,0,-,0
2020,Mozambique,MOZ,Ireland,IRL,5,0,0,-,0,-,0
2021,Mozambique,MOZ,Ireland,IRL,5,0,0,-,0,-,0
2022,Mozambique,MOZ,Ireland,IRL,5,6,0,-,0,0,0
2013,Montenegro,MNE,Ireland,IRL,6,0,0,-,0,-,0
2014,Montenegro,MNE,Ireland,IRL,6,0,0,-,0,-,0
2015,Montenegro,MNE,Ireland,IRL,6,0,0,-,0,-,0
2016,Montenegro,MNE,Ireland,IRL,6,0,0,-,0,-,0
2017,Montenegro,MNE,Ireland,IRL,6,0,0,-,0,-,0
2018,Montenegro,MNE,Ireland,IRL,5,0,0,-,0,-,0
2019,Montenegro,MNE,Ireland,IRL,5,0,0,-,0,-,0
2020,Montenegro,MNE,Ireland,IRL,5,0,0,-,0,-,0
2021,Montenegro,MNE,Ireland,IRL,5,0,0,-,0,-,0
2022,Montenegro,MNE,Ireland,IRL,5,0,0,-,0,0,0
2007,Mauritius,MUS,Ireland,IRL,0,10,0,-,0,-,0
2008,Mauritius,MUS,Ireland,IRL,0,16,0,-,0,-,0
2009,Mauritius,MUS,Ireland,IRL,0,11,0,-,0,-,0
2010,Mauritius,MUS,Ireland,IRL,0,26,0,-,0,-,0
2011,Mauritius,MUS,Ireland,IRL,0,28,0,-,0,-,0
2012,Mauritius,MUS,Ireland,IRL,5,31,0,-,0,-,0
2013,Mauritius,MUS,Ireland,IRL,6,27,0,-,0,-,0
2014,Mauritius,MUS,Ireland,IRL,6,35,0,-,0,-,0
2015,Mauritius,MUS,Ireland,IRL,6,49,0,-,0,-,0
2016,Mauritius,MUS,Ireland,IRL,6,35,0,-,0,-,0
2017,Mauritius,MUS,Ireland,IRL,7,39,0,-,0,-,0
2018,Mauritius,MUS,Ireland,IRL,8,50,0,-,0,-,0
2019,Mauritius,MUS,Ireland,IRL,13,32,0,-,0,-,0
2020,Mauritius,MUS,Ireland,IRL,19,26,0,-,0,-,0
2021,Mauritius,MUS,Ireland,IRL,21,24,0,-,0,-,0
2022,Mauritius,MUS,Ireland,IRL,20,32,0,-,0,0,0
2004,Myanmar,MMR,Ireland,IRL,0,5,0,-,0,-,0
2006,Myanmar,MMR,Ireland,IRL,5,0,0,-,0,-,0
2007,Myanmar,MMR,Ireland,IRL,5,0,0,-,0,-,0
2008,Myanmar,MMR,Ireland,IRL,5,10,0,-,0,-,0
2009,Myanmar,MMR,Ireland,IRL,8,0,0,-,0,-,0
2010,Myanmar,MMR,Ireland,IRL,8,11,0,-,0,-,0
2011,Myanmar,MMR,Ireland,IRL,9,12,0,-,0,-,0
2012,Myanmar,MMR,Ireland,IRL,9,22,0,-,0,-,0
2013,Myanmar,MMR,Ireland,IRL,5,8,0,-,0,-,0
2014,Myanmar,MMR,Ireland,IRL,8,0,0,-,0,-,0
2015,Myanmar,MMR,Ireland,IRL,13,5,0,-,0,-,0
2016,Myanmar,MMR,Ireland,IRL,10,0,0,-,0,-,0
2017,Myanmar,MMR,Ireland,IRL,9,10,0,-,0,-,0
2018,Myanmar,MMR,Ireland,IRL,8,8,0,-,0,-,0
2019,Myanmar,MMR,Ireland,IRL,13,5,0,-,0,-,0
2020,Myanmar,MMR,Ireland,IRL,13,5,0,-,0,-,0
2021,Myanmar,MMR,Ireland,IRL,13,5,0,-,0,-,0
2022,Myanmar,MMR,Ireland,IRL,14,9,0,-,0,0,0
2004,Nepal,NPL,Ireland,IRL,0,12,0,-,0,-,0
2005,Nepal,NPL,Ireland,IRL,5,0,0,-,0,-,0
2006,Nepal,NPL,Ireland,IRL,5,9,0,-,0,-,0
2007,Nepal,NPL,Ireland,IRL,5,8,0,-,0,-,0
2008,Nepal,NPL,Ireland,IRL,5,8,0,-,0,-,0
2009,Nepal,NPL,Ireland,IRL,5,5,0,-,0,-,0
2010,Nepal,NPL,Ireland,IRL,5,26,0,-,0,-,0
2011,Nepal,NPL,Ireland,IRL,5,27,0,-,0,-,0
2012,Nepal,NPL,Ireland,IRL,5,31,0,-,0,-,0
2013,Nepal,NPL,Ireland,IRL,0,24,0,-,0,-,0
2014,Nepal,NPL,Ireland,IRL,0,13,0,-,0,-,0
2015,Nepal,NPL,Ireland,IRL,0,21,0,-,0,-,0
2016,Nepal,NPL,Ireland,IRL,0,11,0,-,0,-,0
2017,Nepal,NPL,Ireland,IRL,0,17,0,-,0,-,0
2018,Nepal,NPL,Ireland,IRL,5,21,0,-,0,-,0
2019,Nepal,NPL,Ireland,IRL,6,26,0,-,0,-,0
2020,Nepal,NPL,Ireland,IRL,9,23,0,-,0,-,0
2021,Nepal,NPL,Ireland,IRL,9,20,0,-,0,-,0
2022,Nepal,NPL,Ireland,IRL,13,33,0,-,0,0,0
2002,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2006,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2007,Niger,NER,Ireland,IRL,7,6,0,-,0,-,0
2008,Niger,NER,Ireland,IRL,8,14,0,-,0,-,0
2009,Niger,NER,Ireland,IRL,8,7,0,-,0,-,0
2010,Niger,NER,Ireland,IRL,8,16,0,-,0,-,0
2011,Niger,NER,Ireland,IRL,8,16,0,-,0,-,0
2012,Niger,NER,Ireland,IRL,5,15,0,-,0,-,0
2013,Niger,NER,Ireland,IRL,5,11,0,-,0,-,0
2014,Niger,NER,Ireland,IRL,0,10,0,-,0,-,0
2015,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2016,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2017,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2018,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2019,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2020,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2021,Niger,NER,Ireland,IRL,5,0,0,-,0,-,0
2018,Nicaragua,NIC,Ireland,IRL,0,8,0,-,0,-,0
2019,Nicaragua,NIC,Ireland,IRL,0,7,0,-,0,-,0
2020,Nicaragua,NIC,Ireland,IRL,9,5,0,-,0,-,0
2021,Nicaragua,NIC,Ireland,IRL,11,15,0,-,0,-,0
2022,Nicaragua,NIC,Ireland,IRL,34,54,0,-,0,0,0
1999,Nigeria,NGA,Ireland,IRL,17,0,0,-,0,-,0
2000,Nigeria,NGA,Ireland,IRL,12,0,0,-,0,-,0
2001,Nigeria,NGA,Ireland,IRL,90,0,0,-,0,-,0
2002,Nigeria,NGA,Ireland,IRL,250,0,0,-,0,-,0
2003,Nigeria,NGA,Ireland,IRL,366,2592,0,-,0,-,0
2004,Nigeria,NGA,Ireland,IRL,478,737,0,-,0,-,0
2005,Nigeria,NGA,Ireland,IRL,589,0,0,-,0,-,0
2006,Nigeria,NGA,Ireland,IRL,619,858,0,-,0,-,0
2007,Nigeria,NGA,Ireland,IRL,691,1182,0,-,0,-,0
2008,Nigeria,NGA,Ireland,IRL,750,1215,0,-,0,-,0
2009,Nigeria,NGA,Ireland,IRL,766,801,0,-,0,-,0
2010,Nigeria,NGA,Ireland,IRL,777,924,0,-,0,-,0
2011,Nigeria,NGA,Ireland,IRL,706,692,0,-,0,-,0
2012,Nigeria,NGA,Ireland,IRL,540,705,0,-,0,-,0
2013,Nigeria,NGA,Ireland,IRL,477,845,0,-,0,-,0
2014,Nigeria,NGA,Ireland,IRL,426,614,0,-,0,-,0
2015,Nigeria,NGA,Ireland,IRL,438,507,0,-,0,-,0
2016,Nigeria,NGA,Ireland,IRL,423,411,0,-,0,-,0
2017,Nigeria,NGA,Ireland,IRL,421,504,0,-,0,-,0
2018,Nigeria,NGA,Ireland,IRL,255,556,0,-,0,-,0
2019,Nigeria,NGA,Ireland,IRL,293,703,0,-,0,-,0
2020,Nigeria,NGA,Ireland,IRL,339,818,0,-,0,-,0
2021,Nigeria,NGA,Ireland,IRL,396,1021,0,-,0,-,0
2022,Nigeria,NGA,Ireland,IRL,506,1404,0,-,0,0,0
2001,Pakistan,PAK,Ireland,IRL,7,0,0,-,0,-,0
2002,Pakistan,PAK,Ireland,IRL,55,0,0,-,0,-,0
2003,Pakistan,PAK,Ireland,IRL,79,71,0,-,0,-,0
2004,Pakistan,PAK,Ireland,IRL,98,59,0,-,0,-,0
2005,Pakistan,PAK,Ireland,IRL,124,0,0,-,0,-,0
2006,Pakistan,PAK,Ireland,IRL,142,142,0,-,0,-,0
2007,Pakistan,PAK,Ireland,IRL,176,223,0,-,0,-,0
2008,Pakistan,PAK,Ireland,IRL,206,297,0,-,0,-,0
2009,Pakistan,PAK,Ireland,IRL,221,179,0,-,0,-,0
2010,Pakistan,PAK,Ireland,IRL,225,398,0,-,0,-,0
2011,Pakistan,PAK,Ireland,IRL,236,368,0,-,0,-,0
2012,Pakistan,PAK,Ireland,IRL,205,320,0,-,0,-,0
2013,Pakistan,PAK,Ireland,IRL,143,358,0,-,0,-,0
2014,Pakistan,PAK,Ireland,IRL,117,459,0,-,0,-,0
2015,Pakistan,PAK,Ireland,IRL,167,1329,0,-,0,-,0
2016,Pakistan,PAK,Ireland,IRL,168,758,0,-,0,-,0
2017,Pakistan,PAK,Ireland,IRL,172,940,0,-,0,-,0
2018,Pakistan,PAK,Ireland,IRL,185,1000,0,-,0,-,0
2019,Pakistan,PAK,Ireland,IRL,297,786,0,-,0,-,0
2020,Pakistan,PAK,Ireland,IRL,365,654,0,-,0,-,0
2021,Pakistan,PAK,Ireland,IRL,391,479,0,-,0,-,0
2022,Pakistan,PAK,Ireland,IRL,409,363,0,-,0,0,0
2022,Panama,PAN,Ireland,IRL,0,7,0,-,0,0,0
2005,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2006,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2007,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2008,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2009,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2010,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2011,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2012,Philippines,PHL,Ireland,IRL,5,0,0,-,0,-,0
2013,Philippines,PHL,Ireland,IRL,0,5,0,-,0,-,0
2014,Philippines,PHL,Ireland,IRL,0,5,0,-,0,-,0
2017,Philippines,PHL,Ireland,IRL,0,5,0,-,0,-,0
2018,Philippines,PHL,Ireland,IRL,0,5,0,-,0,-,0
2020,Philippines,PHL,Ireland,IRL,0,5,0,-,0,-,0
2022,Philippines,PHL,Ireland,IRL,5,5,0,-,0,0,0
2001,Poland,POL,Ireland,IRL,11,0,0,-,0,-,0
2002,Poland,POL,Ireland,IRL,41,0,0,-,0,-,0
2003,Poland,POL,Ireland,IRL,52,95,0,-,0,-,0
2004,Poland,POL,Ireland,IRL,54,0,0,-,0,-,0
2005,Poland,POL,Ireland,IRL,54,0,0,-,0,-,0
2006,Poland,POL,Ireland,IRL,54,0,0,-,0,-,0
2007,Poland,POL,Ireland,IRL,54,0,0,-,0,-,0
2008,Poland,POL,Ireland,IRL,54,0,0,-,0,-,0
2009,Poland,POL,Ireland,IRL,52,0,0,-,0,-,0
2010,Poland,POL,Ireland,IRL,52,0,0,-,0,-,0
2011,Poland,POL,Ireland,IRL,43,0,0,-,0,-,0
2012,Poland,POL,Ireland,IRL,13,0,0,-,0,-,0
2013,Poland,POL,Ireland,IRL,52,0,0,-,0,-,0
2014,Poland,POL,Ireland,IRL,50,0,0,-,0,-,0
2015,Poland,POL,Ireland,IRL,50,0,0,-,0,-,0
1999,Romania,ROU,Ireland,IRL,81,0,0,-,0,-,0
2000,Romania,ROU,Ireland,IRL,8,0,0,-,0,-,0
2001,Romania,ROU,Ireland,IRL,76,0,0,-,0,-,0
2002,Romania,ROU,Ireland,IRL,211,0,0,-,0,-,0
2003,Romania,ROU,Ireland,IRL,255,477,0,-,0,-,0
2004,Romania,ROU,Ireland,IRL,303,95,0,-,0,-,0
2005,Romania,ROU,Ireland,IRL,321,0,0,-,0,-,0
2006,Romania,ROU,Ireland,IRL,328,50,0,-,0,-,0
2007,Romania,ROU,Ireland,IRL,450,13,0,-,0,-,0
2008,Romania,ROU,Ireland,IRL,445,6,0,-,0,-,0
2009,Romania,ROU,Ireland,IRL,369,0,0,-,0,-,0
2010,Romania,ROU,Ireland,IRL,368,0,0,-,0,-,0
2011,Romania,ROU,Ireland,IRL,300,0,0,-,0,-,0
2012,Romania,ROU,Ireland,IRL,151,0,0,-,0,-,0
2013,Romania,ROU,Ireland,IRL,347,0,0,-,0,-,0
2014,Romania,ROU,Ireland,IRL,323,0,0,-,0,-,0
2015,Romania,ROU,Ireland,IRL,323,0,0,-,0,-,0
2002,South Africa,ZAF,Ireland,IRL,17,0,0,-,0,-,0
2003,South Africa,ZAF,Ireland,IRL,30,95,0,-,0,-,0
2004,South Africa,ZAF,Ireland,IRL,39,29,0,-,0,-,0
2005,South Africa,ZAF,Ireland,IRL,41,0,0,-,0,-,0
2006,South Africa,ZAF,Ireland,IRL,42,33,0,-,0,-,0
2007,South Africa,ZAF,Ireland,IRL,42,27,0,-,0,-,0
2008,South Africa,ZAF,Ireland,IRL,46,40,0,-,0,-,0
2009,South Africa,ZAF,Ireland,IRL,49,25,0,-,0,-,0
2010,South Africa,ZAF,Ireland,IRL,49,56,0,-,0,-,0
2011,South Africa,ZAF,Ireland,IRL,52,64,0,-,0,-,0
2012,South Africa,ZAF,Ireland,IRL,35,55,0,-,0,-,0
2013,South Africa,ZAF,Ireland,IRL,44,86,0,-,0,-,0
2014,South Africa,ZAF,Ireland,IRL,41,108,0,-,0,-,0
2015,South Africa,ZAF,Ireland,IRL,47,118,0,-,0,-,0
2016,South Africa,ZAF,Ireland,IRL,51,168,0,-,0,-,0
2017,South Africa,ZAF,Ireland,IRL,51,228,0,-,0,-,0
2018,South Africa,ZAF,Ireland,IRL,55,347,0,-,0,-,0
2019,South Africa,ZAF,Ireland,IRL,77,519,0,-,0,-,0
2020,South Africa,ZAF,Ireland,IRL,116,468,0,-,0,-,0
